,band_gap,min_p_mass,ave_p_mass,p_mass_xx,p_mass_yy,p_mass_zz,p_mass_xy,p_mass_yz,p_mass_zx,min_n_mass,ave_n_mass,n_mass_xx,n_mass_yy,n_mass_zz,n_mass_xy,n_mass_yz,n_mass_zx
Ag2BiO3,0.8470000000000004,1.0415153032192799,1.4664901685813518,1.9825430533204786,1.0415153032192799,1.3754121492042968,1.107645000142133e-18,3.664701619550829e-19,-1.7902110106356889e-19,0.9258844157861965,2.105259644890284,2.194714597342721,0.925884415786196,3.1951799215419348,2.082513931737139e-18,1.9015304893092252e-19,-2.014491568969638e-20
Ag2HgO2,1.0436000000000005,1.3697077985356394,2.8870902208369973,3.645781431987676,3.645781431987676,1.3697077985356396,6.541137543573284e-19,-1.425351071697485e-20,-1.916221235122497e-20,0.7884654080099506,0.9788990539828445,1.0741158769692913,1.0741158769692913,0.7884654080099506,-1.8812991750121203e-19,0.0,0.0
AgAuO2,1.2431999999999999,0.7147095999242005,1.9840921405690901,3.704456737314416,0.7147095999242005,1.5331100844686543,1.3639439337679687e-19,-1.656665347598395e-19,-1.2338832515875775,0.2724169037641626,1.528909988119876,0.6127327959188716,3.1585303144100627,0.8154668540306933,-3.491650701396295e-19,1.0091762189073421e-18,0.42989362441134754
Al2Ge2O7,6.6383,2.5196929591299524,6.003547348147329,8.55538594739004,4.911202396456539,4.544053700595409,-6.590117756304991e-17,-2.4379343124105142e-20,3.4954856505172565,0.37915738669563626,0.4336336914959212,0.3793715738896364,0.42754817078764223,0.4939813298104848,1.0066950862635328e-17,-9.253006289857902e-18,0.004959215480276547
Al2O3,9.332,2.1745967142009572,4.152470711508106,5.141407709969924,5.141407710353436,2.174596714200957,-7.139033062511947e-17,-3.950662111501748e-09,-5.766716858274915e-17,0.3611766720422496,0.37259405914217364,0.3611766720422496,0.3611766720691907,0.39542883331508055,-7.611757088605264e-18,-2.7752841834388904e-10,1.579980796302051e-17
Al2PbO4,6.0424999999999995,1.0893970864896954,4.743583648980638,8.595845995397035,1.0893970864896965,4.545507865055181,2.8124386070936856e-18,-1.3934715804699504e-17,-5.214743225818351e-19,0.6774283481687331,4.322656842953415,0.9337278080719217,11.356814372619592,0.6774283481687329,8.08078369034887e-18,1.43387920422834e-16,3.5268042401773415e-18
Al2ZnO4,7.340599999999999,1.685222303383432,1.6852223033834324,1.6852223033834324,1.6852223033834324,1.6852223033834324,-1.2641269897706856e-16,-5.911124795299576e-17,-5.785100125174016e-17,0.3546238333434167,0.3546238333434167,0.35462383334341674,0.3546238333434168,0.3546238333434167,6.955845905323856e-17,-7.40867476245989e-17,2.9317754184952646e-17
Al4Bi2O9,4.447100000000001,0.7685165770511861,2.2534528351796523,0.7685165770511861,3.3473156507116704,2.6445262777761,-4.0423133797117767e-19,9.811838429792222e-19,4.169755054404034e-20,0.451317150013667,0.7441842957492232,0.451317150013667,1.29304536593345,0.48819037130055265,1.2954085659707032e-21,2.6808341492765607e-44,9.339960068923721e-24
AlAgO2,2.9765000000000006,1.8518549247205194,2.149352418762622,2.298101163104155,2.2981011684631913,1.8518549247205194,-4.60381081233198e-09,2.4950793079844945e-19,3.6337485605228484e-20,0.3678228657095412,0.7933187825939151,1.0060667398630576,1.0060667422091465,0.3678228657095412,-2.015464523900923e-09,0.0,0.0
AlAsO4,8.8574,13.080223187132939,13.43160988094595,13.088889564491225,13.094520959851618,14.11141911849501,-0.011130399949849377,0.004466831965064808,-0.002160051663723691,0.5080449659707397,0.5306861364205983,0.5419639664349064,0.542049454618196,0.5080449882086925,-0.003589007241543607,-1.3362899524602845e-05,-2.2458762790359116e-05
AlCuO2,3.9124,1.7954538000882483,3.060462465785433,1.7954538000882483,1.7954538003206835,5.590479796947369,1.2770236412859896e-17,-2.3374002878097933e-16,4.699828565111422e-17,0.3925747413486619,0.8795562342674601,1.1230469806541652,1.1230469807995533,0.3925747413486618,9.285485199346037e-17,-1.5483819024925707e-16,3.5148703904631345e-17
AlSbO4,4.2659,1.0414850072018451,1.40131100135594,1.0414850072018451,1.4863119145377015,1.6761360823282736,1.0295304828135498e-16,5.61849420470465e-24,-4.212008197158601e-24,0.2664932372296278,0.32107392579285515,0.2664932372296278,0.4108682107998448,0.2858603293490929,1.5900401210349082e-17,0.0,0.0
As2O3,5.3426,1.2004215228809865,1.9247009650158091,2.137002521655813,1.2004215228809865,2.4366788505106274,5.380284640997798e-18,2.1794563254788295e-19,0.2543285334148324,0.4861711183675491,1.172645675320503,0.735719410058154,0.4861711183675491,2.296046497535806,-4.514123459450842e-19,-2.9214848142151615e-19,0.1787958844030771
As2Pb3O8,4.9917,1.2113390357965999,18.245905199787906,2.7103883661144863,1.2113390357965999,50.81598819745263,1.280990440263802e-18,2.9459784146562526e-18,-0.8213880257103542,1.2811208567509116,2.672209480042676,4.607540389521976,1.2811208567509116,2.12796719385514,-7.439279927966763e-19,3.6864853380608334e-19,0.7491913838899382
As2PbO4,4.2247,0.7054283028228618,2.4889027188324886,1.4864910577605044,4.894593373032025,1.0856237257049361,-2.448862590669201e-18,-4.133871773411121e-18,0.5449371380360811,0.5499372207773566,0.8190889766264317,0.8639981122943066,0.5499372207773568,1.0433315968076315,-2.587734935409926e-19,-2.80494605751872e-19,0.23160560796035728
As2PbO6,3.9249000000000005,0.37038911925191315,0.7303934405126458,0.9103956015312406,0.9103956007547838,0.37038911925191315,-1.06766333271353e-09,-6.426982488135281e-18,3.1457459608107065e-17,0.35791344956334753,0.37407624854435034,0.3579134501626062,0.35791344985734935,0.40640184561309567,-4.197418040508877e-10,5.070780560647546e-18,-1.369791359193574e-18
AsAuO4,4.2708,1.3281735723406105,3.297664101667474,1.7972687678558765,5.634942123481247,2.4607814136652983,-2.632425725921233e-18,3.65065000771792e-17,0.7289039009144676,2.00572548200849,3.0001389486450187,2.4611565624128247,3.5584345144851124,2.9808257690371205,6.412176326221376e-17,9.590827341584677e-18,0.6664015135217103
Au2O3,1.9440000000000004,1.8878568777837488,2.642092356848625,1.8878568777837488,2.361889716648981,3.676530476113146,1.682917166449525e-17,2.819307394909425e-17,3.371469363810979e-17,0.8192398375434555,1.0709983742308526,0.8192398375434555,1.3165810737832457,1.0771742113658564,-7.30552594704268e-18,1.9956512915376526e-17,-4.46697287994974e-17
B2O3,10.3086,7.849037279128421,12.794447468403794,7.849037305952312,7.849037279128422,22.685267820130644,-1.3107019008850506e-16,-6.301104955358951e-16,2.098064533031238e-16,1.6688297583426541,1.7725897323349795,1.668829764045839,1.6688297583426546,1.9801096746164453,-8.001745808908042e-17,7.905812473338251e-18,-1.7887450843142924e-18
