,band_gap,min_p_mass,ave_p_mass,p_mass_xx,p_mass_yy,p_mass_zz,p_mass_xy,p_mass_yz,p_mass_zx,min_n_mass,ave_n_mass,n_mass_xx,n_mass_yy,n_mass_zz,n_mass_xy,n_mass_yz,n_mass_zx
B4PbO7,6.385199999999999,1.233506687909002,1.6442713277886256,1.233506687909002,1.7030168522851126,1.996290443171763,-2.0948567768907612e-19,3.8160262928122416e-20,6.308285216488097e-23,0.63191412481962,0.6681664753464923,0.7182639758056683,0.6543213254141887,0.63191412481962,-5.626828809416839e-21,2.0123020485557596e-23,-1.7304768620974767e-43
B6O,3.0207999999999995,0.38646674363255124,0.5849248742683976,0.6841539409828622,0.6841539381897794,0.3864667436325513,4.7383950656445853e-17,5.580053048429787e-10,1.5130693506223923e-17,0.30228681254691686,0.31871466992496783,0.32692859928134216,0.3269285979466445,0.30228681254691686,-2.1217615746676168e-17,2.6664742273031686e-10,-2.113848709132137e-17
BAsO4,8.0243,1.9797319234507762,2.335274301786461,2.513100451911836,2.5129775217527532,1.9797449316947926,-0.001330032969004423,0.0016590635534574046,-0.0020498740109282814,0.5971555330545502,0.6525719136651987,0.6801207510630781,0.6804285432997051,0.5971664466328128,0.00200862020174901,0.0009399171764977043,-0.00013624252778577693
Ba(AgO)2,3.1578999999999997,1.1568772000080318,1.8664629650206994,1.1573308009858272,1.1573308009858276,3.284727293090444,0.0004536009777956916,0.00015679182951749173,0.0001567918295174886,0.3561980714926571,1.646563622426279,2.2917458030306395,2.291745803030641,0.35619926121755713,-0.00048448039988571446,-0.001072891637896669,-0.0010728916378966306
Ba(AsO3)2,5.7357000000000005,0.9213964737044766,32.582002789322495,4.881514663366421,91.82119453551229,1.043299169088766,5.015309817829128e-15,2.4316592672363843e-15,-0.6948014690256076,0.4383812646465372,0.5023930599732305,0.5525693250254473,0.43838126464653715,0.5162285902477068,-1.188066620685341e-17,-2.1658562787824582e-17,0.09287581908554263
Ba(AuO2)2,2.977,4.005119797453395,4.151762282104159,4.00539200053062,4.008155423361361,4.441739422420496,-0.0009087644424473286,0.0015097897367230052,-0.0001966898840686562,4.674769382373508,4.679764318558517,4.679543148494499,4.676456465515494,4.683293341665559,0.0027765790622199674,0.0005676286560444449,0.0022383570160482854
Ba(CuO)2,2.7731,0.6214989361692922,3.3233717312490065,4.6743075212960905,4.674307521296089,0.6215001511548416,-0.005723068750902709,0.0015679844420280501,0.0015679844420280911,0.30203182584164756,0.4478384102512287,0.3020849360167709,0.30208493601677094,0.7393453587201444,-5.285921748717223e-05,-0.00023425111576919001,-0.00023425111576919934
Ba(SbO3)2,5.7837000000000005,2.6814473376585264,3.076644355025006,3.274242864286441,3.2742428631300493,2.681447337658527,-1.2851152550019495e-17,-6.071148503289485e-17,4.285935388427289e-17,0.3833486531112997,0.4456288748859019,0.3833486532466899,0.38334865311129956,0.5701893182997164,8.524365472354203e-19,-2.7616828144032015e-17,3.765571363586256e-17
Ba2Bi2O5,3.0665999999999998,1.13536872062973,1.535420975015688,1.6187760377901241,1.13536872062973,1.8521181666272097,4.1596754765373183e-19,-3.335153657772049e-20,0.13695631452477747,0.4313131723908586,0.6404873783790364,0.7794738888905436,0.7103060248325879,0.43168222141397783,1.2930362682076286e-18,-4.248886158464474e-18,0.01133527116185137
Ba2BiSbO6,2.9357,0.5410560013410752,1.1986715133757515,1.9381251815269442,0.5496017335560016,1.1082876250443086,-5.421204268794493e-17,-1.6058309969106298e-17,0.8902032461761616,0.3355637988789784,0.34283555156330975,0.34361658631100356,0.3355637988789784,0.34932626949994733,-5.65797574510136e-17,-1.7674650830344275e-17,0.009120994562076786
Ba2Ca(BO2)6,8.4683,1.711902446401158,7.443913231649638,1.711902446401158,1.711902449249708,18.90793479929805,2.2277040056954896e-17,-1.347373501615312e-16,-2.0436573645101118e-16,0.40751200849913227,0.6022111207771144,0.6995606763340823,0.6995606774981284,0.4075120084991324,4.8373800371201473e-17,-1.129841077105869e-17,-7.260017348552778e-17
Ba2Ca(BO3)2,6.9755,1.413492007026002,9.640756505462868,2.9198295103819483,1.413492007026002,24.588947998980654,-1.0739864903387283e-16,3.827228390788098e-18,-0.15002948160552462,0.4781223498156715,0.8550636117727154,0.8325478434274117,1.1943705990493514,0.5382723928413832,-8.442494479640006e-17,3.3934260726439705e-18,-0.14600927604147376
Ba2Ca(PdO2)3,3.0387999999999997,2.3756713266364407,4.394457878732156,2.3756713266364407,7.419141284235589,3.38856102532444,9.423967815824498e-17,7.256902400483802e-17,-7.252517541020311e-17,1.5788548089549892,3.3554189949375464,1.5788548089549892,2.3248471372119086,6.162555038645742,-5.691186209760842e-17,-9.715821757845864e-17,8.1604418046508e-17
Ba2CaWO6,4.6526,2.900558344816689,3.2066147237100657,3.4906010027583747,2.9569088423686853,3.1723343260031367,3.717529898179158e-17,-5.686162570723755e-18,0.400449025849684,0.7773199558594164,0.8954379347972603,0.9864876805782106,0.7773199558594164,0.9225061679541542,1.974185519037152e-17,1.6286228291595655e-17,0.15954802547684852
Ba2Cd(BO2)6,7.7145,2.3375502545889986,3.3940073935581494,2.3375502545889986,2.3375502594089648,5.506921666676485,-5.65791824641107e-17,1.3559757595187877e-09,-1.7689518293803163e-17,0.41641910352538547,0.5452762901191467,0.6097048827874294,0.609704884044625,0.41641910352538547,-5.864131514139837e-17,3.5368009571308513e-10,-1.6685597239431324e-17
Ba2Cd(BO3)2,5.980300000000001,0.6572227986769659,3.6865423875476453,5.204256329115995,0.6572227986769659,5.198148034849976,3.1467490829523436e-17,1.8749454730007624e-17,1.2997623710021156,0.368429790663537,0.4711095676955664,0.5773438037891552,0.4579759525129443,0.3780089467845997,2.925751964908597e-17,1.991547987290432e-18,0.04473499689960945
Ba2CdGe2O7,5.6263000000000005,2.787811873022502,4.407728006123835,5.217686072674502,5.217686072674502,2.7878118730225023,-3.0223003157242895e-18,-1.138865018211317e-18,6.40984195989744e-19,0.4448277728901111,0.5224652669931942,0.5612840140447358,0.5612840140447357,0.44482777289011105,4.0130792707242495e-19,1.6534438862927392e-20,-5.256607759055468e-19
Ba2CePtO6,2.8735000000000004,1.8349299761575826,1.8349299761575832,1.8349299761575835,1.8349299761575835,1.8349299761575835,-2.0977632785480622e-17,-2.3596574451123513e-17,3.521438404493014e-18,24.293249222395957,24.29324922239596,24.29324922239596,24.29324922239596,24.29324922239596,2.1239164638876965e-15,1.3814628843183688e-15,1.3656680217255791e-15
Ba2HfO4,5.4018,0.916006884044056,2.1797554116430597,2.8116295768465034,2.8116295768465034,0.9160070812361729,-0.0009956729831999203,0.00043220684458131626,0.0004322068445813449,0.44933286886983737,0.5385085415938061,0.45208740687227617,0.45208740687227617,0.7113508110368659,-0.0027523028865610796,0.0005411286643772708,0.00054112866437728
Ba2In2O5,2.6022,0.4093901715230168,3471.8921333029593,10414.651895305682,0.6151139800362293,0.40939062315920677,0.05475715024882954,0.000278414134888623,0.027993231038060666,0.2640638395404594,0.289604450731459,0.26408144689844754,0.2981717881427341,0.30656011715319537,0.0005170966015863119,0.0009213270759519045,0.0006580602229773044
Ba2InCuO4,3.4812000000000003,3.037900425897794,4.902354725447028,3.037900425897794,3.0379004258977944,8.631263324545495,-1.1157635964148404e-18,-2.222092266276649e-18,1.769675810159328e-18,0.38008768698003403,0.3860129155180802,0.38897552978710337,0.3889755297871031,0.3800876869800341,4.276702837193641e-21,-1.5935439054422245e-44,-1.4493632325063346e-24
Ba2InGaO5,3.5412,0.39477221742607876,1942.7894259597258,5827.35548830525,0.6180150271621888,0.39477454676529,0.0573026616135254,0.0007018892172449296,-0.026543000790049082,0.282475429096739,0.28529219179351545,0.2848685906435124,0.2833322315994494,0.2876757531375846,0.0008954598608717949,-0.0016784639758711446,-8.485106839961366e-05
Ba2LaBiO6,3.5496,1.0428111763231511,1.5259339811539039,2.0353097434569136,1.0428111763231511,1.4996810236816471,-7.867964478913188e-18,-1.1743508495615233e-17,0.5855306620323476,0.3872190079085513,0.43489401516014703,0.39814160720763037,0.4606908799124564,0.4458495583603543,5.004159358769879e-18,-5.909324552581199e-17,-0.02530608640761117
Ba2LaSbO6,6.3375,4.427127555779553,4.478894143142671,4.504777437224391,4.504777436424073,4.427127555779552,-1.3957081339940175e-17,3.046152937218196e-09,6.729831877914501e-17,0.5485037222926912,0.5596530889273351,0.5485037223901376,0.5485037222926907,0.581951822099177,-6.80255712722816e-17,3.709008962874333e-10,-9.196962237117448e-18
Ba2LaTaO6,5.4603,2.033907820128069,2.6629030524054076,2.153707421866225,3.713903001966144,2.121098733383853,-8.040767658186175e-18,1.0027416344447995e-17,-0.10220291915218956,0.444874694316083,3.4095065854276743,6.734482176183003,0.4448746943160831,3.0491628857839355,6.554918554850804e-17,3.4880189370459424e-17,3.9392172874478737
Ba2Mg(BO3)2,7.6893,0.9864250369927867,2.8419036457065077,0.9864250369927867,0.9864250405764939,6.552860859550243,-3.783130104393047e-18,-5.1134579358269955e-17,-1.0197899024669097e-16,0.507273991140154,1.7700067557496437,2.401373133692265,2.4013731424165132,0.5072739911401539,4.527810093879836e-17,-5.175773608446963e-18,1.0306728850486782e-16
Ba2MgGe2O7,6.6364,6.766791127052632,11.984626839788632,14.593544696156636,14.593544696156629,6.766791127052631,-9.629649678845335e-18,-1.3926097843057113e-19,5.8875142213253676e-18,0.41140573073415676,0.536174716619766,0.5985592095625708,0.5985592095625706,0.41140573073415676,-8.704736234978923e-21,-5.062833682346982e-23,9.670371934644197e-21
Ba2MgMoO6,3.4381000000000004,2.0903916385328514,2.0903916385328514,2.0903916385328514,2.0903916385328514,2.0903916385328514,2.590921374408686e-16,1.2328229673417426e-16,9.714764186104228e-17,1.0923108068059326,1.0923108068059328,1.0923108068059328,1.0923108068059328,1.0923108068059328,6.487500703596762e-17,-1.0387402843010662e-16,-1.19394443612575e-16
Ba2MgSi2O7,7.7968,3.480695131343353,16.586302213272432,23.139105754236972,23.139105754236972,3.4806951313433525,2.2758029453583318e-17,-1.103172129256982e-18,-8.836631029083816e-19,0.5361238522155171,0.6001648229918457,0.63218530838001,0.63218530838001,0.5361238522155171,3.428451386344018e-19,-2.280735278576655e-19,-3.159315335533152e-20
Ba2MgWO6,4.5792,2.0449966799251817,2.0449966799251826,2.0449966799251826,2.0449966799251826,2.0449966799251826,1.0185165802072696e-16,-1.074278846025567e-17,1.3976880344025768e-17,1.0749156009410137,1.0749156009410137,1.0749156009410137,1.0749156009410137,1.0749156009410137,2.0175938970359807e-17,2.0027938246350948e-17,2.882150020126308e-17
Ba2PbO4,2.6629,1.6976090630615939,1.7640897788502048,1.797330115383445,1.797330115383445,1.6976091057837246,-0.00031029172335440895,-4.6081663891259304e-05,-4.608166389129201e-05,0.3833246120600357,0.4287080959908182,0.45139048142328714,0.451390481423287,0.3833433251258805,-0.0013454004215493866,0.0007901090204822382,0.0007901090204822708
Ba2Sc2O5,4.626200000000001,2.5147612385648817,10.147771570559833,7.318431690446156,20.610121782668465,2.5147612385648817,-2.568905775313083e-17,-8.879444821414507e-19,5.4230836756485e-19,0.7179593384792332,1.2706102060186002,1.1529165368400995,1.9409547427364677,0.7179593384792332,-1.7126506223825934e-18,-3.792689215721403e-20,-6.463121525898404e-19
Ba2ScCuO4,3.8233,1.1606114688887317,2.0267606498431587,2.4598352403203725,2.4598352403203725,1.160611468888732,2.0021097366490644e-18,-2.4422309022925967e-19,-2.7401930633342043e-19,1.4017804162582719,1.474655718124333,1.4017804162582719,1.4017804162582717,1.6204063218564557,1.972823439201752e-18,-1.2165821376848978e-19,-1.9562996909122463e-20
Ba2ScNbO6,4.1895999999999995,2.029860918249983,2.0298609182499834,2.029860918249983,2.029860918249983,2.0298609182499834,1.3476431114635416e-16,8.533467581189628e-17,1.0211235138556358e-16,0.5909410656774731,0.5909410656774733,0.5909410656774733,0.5909410656774733,0.5909410656774733,7.587035270014185e-17,4.51370582806766e-17,2.5837314500904685e-17
Ba2ScTaO6,4.7564,2.00942407108278,2.00942407108278,2.00942407108278,2.00942407108278,2.00942407108278,-1.8593235585885953e-16,6.209311483770081e-17,7.345508483557323e-17,0.5453284882066958,0.5453284882066961,0.5453284882066961,0.5453284882066961,0.5453284882066961,-1.5128702454089055e-17,5.267459911294968e-17,2.7353914315102295e-17
Ba2SiO4,7.4095,1.4373472211837337,8.679629767603254,1.4373472211837337,6.082809361158675,18.51873272046735,2.7580646346067482e-18,-3.585707310185489e-18,-1.0220738211273705e-18,0.5558975579512965,0.7252563106992461,0.9557837602336591,0.6640876139127828,0.5558975579512966,-2.3220591963505597e-19,-2.2157105207627123e-18,2.9716353385533204e-20
Ba2SnO4,4.7919,1.478482872709003,2.0359482573546184,2.314680949234751,2.3146809492347518,1.4784828735943516,-7.821528487848786e-05,1.9238733325435594e-05,1.9238733325447778e-05,0.3835448347941911,0.3858392193939924,0.3845541505090928,0.38455415050909275,0.3884093571637916,0.001009315714901651,-0.0008907230554594652,-0.0008907230554595163
Ba2SrWO6,4.6427,1.7119941601004567,3.6774022044520756,1.8521389303034923,5.374419068832462,3.8056486142202726,3.550147477976698e-17,9.5114806174874e-17,0.5416776923200586,0.6221628962112644,1.0334210902004035,1.2210911538185667,0.6221628962112644,1.2570092205713799,-3.968283543301172e-18,-3.45548663314857e-17,0.5019155698200767
Ba2TaBiO6,3.6373000000000006,0.3946415998514502,0.431012900341397,0.4164133152097667,0.468514543182568,0.4081108426318562,-2.1419596115835918e-17,2.0909201877355593e-17,0.017124500573945416,0.39012231227729555,0.632983305511988,1.0662456471447797,0.4395635222139431,0.39314074717724135,4.353349496087047e-17,5.537343546096461e-18,-0.04517559374963095
Ba2Ti(SiO4)2,6.7109,1.9010546324793496,11.860432678174853,1.9010546324793502,1.9010546324793502,31.77918876956586,-4.886664274242227e-19,1.0220827895972804e-18,-1.5907937815514015e-18,2.444514927572243,167.58020511185353,2.4445149275722486,2.4445149275722486,497.8515854804161,1.4242506425774442e-18,1.3002619285467197e-16,-5.532494576224675e-19
Ba2TiO4,6.3631,1.7703691846885268,4.120135121299833,5.794485523052387,1.9594331955237587,4.6064866453233515,1.0459643741170299e-17,-7.381662064097706e-18,-3.3782934465288266,0.6126991891838374,1.306723347006926,1.143166305160534,2.119425626510162,0.6575781093500819,9.664684577446775e-19,-3.3627215722146425e-19,-0.1542944955231266
Ba2YTaO6,5.4216999999999995,1.6606105853415518,2.5252231074784093,2.957090351581375,2.9579665590153277,1.6606124118385246,-0.001196454561327404,0.00017378825498152328,-0.0015291574661434714,0.4592700811604048,0.6285390141580841,0.7131061541595002,0.7132343429273812,0.4592765453873708,-0.001371465243365234,0.0008311365748814165,0.0009703895758603231
Ba2ZnGe2O7,5.9972,2.989913971090718,3.891009256280212,4.341556898874959,4.34155689887496,2.989913971090718,3.963271785672147e-18,-3.797846032277251e-19,-1.0290984212248463e-19,0.42287546127200343,0.5196515992986108,0.5680396683119147,0.5680396683119148,0.42287546127200326,-3.0444569444882266e-22,3.008493585590173e-19,9.673264733250715e-20
Ba2ZnMoO6,3.3137999999999996,0.6633757393860168,0.663375739386017,0.663375739386017,0.663375739386017,0.663375739386017,5.1025488617358085e-17,5.893857057616999e-18,1.9744975241348107e-17,1.528721286501973,1.528721286501973,1.528721286501973,1.528721286501973,1.528721286501973,-8.711431882553088e-17,1.3973067386801715e-17,-2.4380134570594476e-17
Ba2ZnO3,4.947,1.014159406775736,14.369396966170036,1.0183069143556966,29.826370606186014,12.263513377968396,-1.1939675827369515e-16,-3.4750190954464343e-16,-0.21600180755072057,0.27968943094518306,0.3790417576234854,0.4017624362135098,0.27968943094518306,0.4556734057117632,6.52038160883979e-18,-1.490355519028698e-17,-0.03175735124945049
Ba2ZnSi2O7,7.2884,1.8014611226955912,4.826168962496084,6.343450752299032,2.8057944788162694,5.3292616563729505,1.5022777321412953e-16,-1.5672873192873993e-16,-4.00290312639115,0.41827348247852963,0.4401444313932316,0.42781006975041325,0.4727834715138429,0.41983975291543874,1.0511878757890436e-17,1.2170492411693203e-17,0.0038648253146753133
Ba2ZnWO6,4.5197,0.6800740069108459,0.6800740069108461,0.6800740069108463,0.6800740069108463,0.680074006910846,3.5253872742692656e-17,1.3932926550352684e-17,3.5910704054456315e-17,1.5112598151002412,1.5112598151002412,1.5112598151002412,1.5112598151002412,1.5112598151002412,-8.126645427105193e-17,1.1269626739842965e-17,-1.4247566104808152e-17
Ba2ZrO4,5.084200000000001,0.9424625577740371,2.5577769529562526,3.3654341495077684,3.365434149507769,0.9424625598532211,-0.0009194062528766819,5.017914067868197e-05,5.017914067867936e-05,0.32899803809383377,10.750168336485617,0.32983496687544767,0.32983496687544767,31.590835075705954,-0.0008369089177361113,-0.0005572168749673629,-0.0005572168749666441
Ba2ZrSnO6,6.1636999999999995,1.6290279239882148,1.6290279239882148,1.6290279239882148,1.6290279239882148,1.6290279239882148,-1.6392432709422161e-18,1.0388171712776476e-16,7.678870921016816e-17,0.4580984033135776,0.45809840331357776,0.4580984033135779,0.4580984033135779,0.4580984033135776,-1.3227603940085142e-17,1.1736217938496586e-17,9.508975446595127e-18
Ba3(AsO4)2,7.0813,1.9172874915150742,4.7274516753466305,6.132533782334452,6.132533752190366,1.9172874915150742,8.742762112851883e-17,8.388615198266329e-17,6.036580490863238e-17,0.3677120342672707,0.4144595827304119,0.4378333580380539,0.4378333558859111,0.3677120342672707,-4.16909818040805e-18,-8.732666419146189e-17,1.1761861572294822e-17
Ba3BAsO3,2.5067999999999997,0.2790456819996427,2.873508008412443,4.170739175805112,4.170739167432575,0.2790456819996427,-1.0374426586073626e-16,-7.808829301048355e-21,-3.58760706977026e-20,0.5096798400068964,1.085755862832935,1.373793875624863,1.3737938728670451,0.5096798400068964,2.514412230400823e-17,7.553940567146603e-24,-2.5894386032698695e-19
Ba3CaNb2O9,4.4326,2.127532187231022,2.2126696477773335,2.1275321910937417,2.1275321872310227,2.3829445650072363,6.358395822644993e-17,5.063872977613304e-18,-1.736223143455616e-17,0.7935078200738597,0.8906177716460634,0.7935078215145417,0.7935078200738599,1.0848376733497886,2.735646125484067e-17,-5.3082700909372177e-17,8.610144165938184e-17
Ba3CaTa2O9,5.119400000000001,1.9885599834344818,2.1165480085299415,1.988559986712421,1.9885599834344818,2.3725240554429217,6.703699354256742e-17,1.763419132331765e-17,-5.528833248950793e-17,0.6870509630386843,0.7822591004723799,0.6870509641712185,0.6870509630386838,0.9726753742072375,1.3380510078880698e-17,-5.872074367185908e-17,5.4418653974473015e-17
Ba3Hf2O7,5.566599999999999,1.9737313007912447,2.575686018359986,2.876662324108308,2.8766623241083087,1.9737334068633423,0.0013526136424876513,-0.0009758295282304838,-0.0009758295282305599,0.28801070358633973,3.454645053540449,0.28865554112364644,0.2886555411236464,9.786624078374054,0.0006448375373061508,0.0019370788900687358,0.0019370788900692631
Ba3In2O6,2.5153999999999996,0.6052415499180975,601.9387174918446,0.6052567120031845,0.6052567120031846,1804.6056390515275,1.516208508696166e-05,0.019683782519707347,0.01968378251979022,0.2738297023236016,0.4466932330245353,0.27434944130589883,0.2743494413058988,0.7913808164618084,-0.0005188801724858766,-0.0004714223025560172,-0.00047142230255603983
Ba3MgNb2O9,4.3713,1.8899161729086529,1.8930525265720302,1.889916174630678,1.8899161729086518,1.899325232176761,8.491818522627388e-17,2.5626944017653278e-17,-4.020814147999482e-17,0.8029903286789227,0.9144341899014635,0.8029903294105799,0.8029903286789226,1.137321911614888,-3.0101569255892726e-17,-9.914024973420434e-17,6.031007229711522e-17
Ba3MgSb2O9,5.3481,1.6643731615567776,2.028186698499889,1.6643731627286786,1.6643731638590267,2.755813768911961,-1.6425614681927465e-09,1.362043942103931e-20,-1.0951946661231395e-20,0.3978364062256412,0.4069428604134903,0.41149608736768245,0.4114960876471473,0.3978364062256412,-4.0610338664989394e-10,0.0,0.0
Ba3MgTa2O9,5.1407,1.80697041018096,1.8643649680155316,1.8069704121921166,1.8069704101809598,1.9791540816735176,1.258035442130476e-16,9.997507998740741e-18,-2.907282317908302e-17,0.7109841994229742,0.8134963585635834,0.7109842002142986,0.7109841994229742,1.0185206760534773,4.800152809724955e-17,-3.1173458144925014e-17,3.863807255660585e-17
Ba3MgTaNbO9,4.6639,1.8831254226838336,1.9177309358653176,1.8831254255541638,1.8831254226838334,1.9869419593579551,1.1966238077476564e-17,4.3195640280080165e-17,-2.5813093175117315e-17,0.8346394410155856,0.9594213993086477,0.8346394422877742,0.8346394410155854,1.2089853146225835,-7.366364911068975e-18,8.251606382243769e-19,5.901987110306774e-17
Ba3NaBiO6,3.8926000000000003,1.7564727654369672,2.9288404714184737,3.5150243201999904,3.5150243286184635,1.7564727654369676,-5.385333074344142e-17,-3.327828843917546e-16,2.377248864666783e-17,0.5814988370882539,0.5883788888567552,0.5918189140323032,0.5918189154497083,0.5814988370882539,1.408848418554524e-17,-9.702060153276134e-18,-1.9458731171390784e-17
Ba3NaNbO6,5.0532,3.416075395241622,5.041707733998925,5.85452389599829,5.854523910756863,3.416075395241622,8.113234575674979e-17,3.964875309110669e-16,-1.5875949657220627e-16,0.8027013400031253,1.2924426448062403,1.5373132952701039,1.5373132991454919,0.802701340003125,-4.407987135604547e-18,7.59491247448333e-18,4.1661092344479514e-17
